,avgMeasuredTime,avgSpeed,vehicleCount,Day sin,Day cos,Year sin,Year cos
0,94.33333333333333,44.166666666666664,37,0.13052619223019293,-0.9914448613724752,0.684297096009957,0.7292033217096173
1,104.75,39.666666666666664,99,5.591820602256636e-12,-1.0,0.6845583921029422,0.7289580288339201
2,111.33333333333333,37.416666666666664,136,-0.25881904509202147,-0.9659258262918816,0.6850807204726085,0.7284671622226576
3,128.5,32.083333333333336,150,-0.49999999999861816,-0.8660254037852365,0.685602696863629,0.727975921341715
4,107.25,39.25,125,-0.7071067811816872,-0.7071067811914078,0.6861243210077417,0.7274843064435587
5,120.0,35.833333333333336,87,-0.866025403778363,-0.5000000000105234,0.6866455926369893,0.7269923177807299
6,99.25,42.583333333333336,67,-0.9659258262883236,-0.2588190451053,0.6871665114835547,0.7264999556060012
7,111.25,38.0,40,-1.0,-8.155164753851156e-12,0.6876870772798016,0.7260072201723369
8,115.16666666666667,37.25,33,-0.9659258262887787,0.25881904510360154,0.6882072897582755,0.7255141117328932
9,100.08333333333333,43.666666666666664,21,-0.8660254037865182,0.4999999999963982,0.688727148651703,0.7250206305410177
10,131.9,32.3,29,-0.691513055785024,0.7223639620571186,0.6892899297988929,0.7244856055697982
11,91.75,47.083333333333336,13,-0.500000000000141,0.8660254037843572,0.689765804615235,0.7240325509143201
12,88.2,48.9,3,-0.25881904510777604,0.9659258262876601,0.6902846011517019,0.7235379529871504
13,115.91666666666667,35.916666666666664,101,0.258819045112728,-0.9659258262863333,0.6964824206589019,0.7175738552324188
14,123.41666666666667,34.083333333333336,100,1.2932819802678598e-12,-1.0,0.6969965859910925,0.7170744446128042
15,107.5,39.416666666666664,130,-0.25881904509617354,-0.9659258262907691,0.6975103932224989,0.7165746655768643
16,121.41666666666667,33.916666666666664,108,-0.49999999998973843,-0.8660254037903632,0.6980238420891389,0.7160745183813741
17,120.25,34.583333333333336,139,-0.7071067811847268,-0.7071067811883683,0.6985369323272141,0.7155740032832978
18,104.41666666666667,40.083333333333336,105,-0.8660254037805122,-0.5000000000068008,0.6990496636731108,0.7150731205397883
19,113.5,36.583333333333336,64,-0.9659258262894361,-0.25881904510114795,0.6995620358633994,0.7145718704081878
20,116.75,35.666666666666664,63,-1.0,-3.8566261318623785e-12,0.7000740486348347,0.714070253146027
21,115.0,36.833333333333336,38,-0.9659258262914324,0.2588190450936975,0.700585701724397,0.7135682690109855
22,119.41666666666667,35.0,21,-0.8660254037843689,0.5000000000001209,0.7010969948691297,0.7130659182610508
23,111.66666666666667,37.166666666666664,36,-0.7071067811901809,0.7071067811829141,0.7016079278063825,0.7125632011542793
24,103.5,41.083333333333336,31,-0.5000000000090207,0.8660254037792305,0.7021185002736501,0.7120601179489555
25,87.83333333333333,49.333333333333336,5,-0.25881904510362397,0.9659258262887727,0.7026287120086119,0.711556668903552
26,59.0,70.0,1,-1.0718508905445674e-11,1.0,0.6908030430358477,0.7230429833228539
27,76.18181818181819,54.45454545454545,0,0.2588190451011255,0.9659258262894421,0.6913211300013091,0.7225476421757344
28,80.0,51.0,0,0.4999999999941783,0.8660254037877998,0.6918388617819048,0.7220519298002869
29,71.25,57.916666666666664,11,0.7071067811780621,0.7071067811950329,0.6923562381116362,0.721555846451197
30,71.41666666666667,57.75,7,0.8660254037830756,0.5000000000023609,0.6928732587246872,0.7210593923833408
31,116.16666666666667,37.333333333333336,41,0.9659258262869967,0.258819045110252,0.6933899233554655,0.7205625678517458
32,114.5,36.5,56,1.0,-1.270062171326659e-12,0.6939062317384388,0.7200653731117475
33,110.33333333333333,38.0,55,0.9659258262901056,-0.2588190450986495,0.6944221836083808,0.7195678084187537
34,103.83333333333333,40.5,56,0.8660254037890814,-0.4999999999919584,0.6949377787002072,0.719069874028402
35,114.75,36.083333333333336,67,0.7071067811865557,-0.7071067811865394,0.6954530167490173,0.7185715701965192
36,121.0,34.666666666666664,93,0.5000000000045808,-0.8660254037817939,0.6959678974900935,0.7180728971791226
37,106.75,39.0,77,0.25881904510857595,-0.9659258262874458,0.7087230204771243,0.7054868391726252
38,118.58333333333333,36.416666666666664,77,1.1546658586645935e-11,-1.0,0.7092285189054701,0.7049786578125279
39,113.41666666666667,38.0,66,-0.2588190451003256,-0.9659258262896565,0.7097336529485465,0.7044701142506418
40,113.33333333333333,38.0,77,-0.4999999999934611,-0.8660254037882139,0.7102384223468272,0.7039612087482447
41,104.83333333333333,40.083333333333336,73,-0.7071067811877663,-0.7071067811853288,0.7107428268409735,0.703451941566801
42,98.08333333333333,42.833333333333336,87,-0.8660254037826615,-0.5000000000030781,0.7112468661718336,0.7029423129679602
43,112.83333333333333,37.25,45,-0.9659258262867824,-0.25881904511105197,0.7117505400804442,0.7024323232135576
44,108.0,40.333333333333336,29,-1.0,4.41912490126398e-13,0.712253848308029,0.7019219725656145
45,117.91666666666667,35.25,36,-0.9659258262903199,0.2588190450978496,0.7127567905959998,0.701411261286337
46,122.25,34.916666666666664,23,-0.8660254037894956,0.4999999999912412,0.7132593666859566,0.700900189638117
47,93.91666666666667,45.666666666666664,24,-0.7071067811871413,0.7071067811859537,0.7137615763196871,0.700388757883531
48,114.83333333333333,41.583333333333336,17,-0.500000000005298,0.8660254037813798,0.7142634192391678,0.6998769662853414
49,85.16666666666667,49.25,18,-0.25881904511352793,0.9659258262861189,0.7147648951866031,0.6993648151064538
50,113.55555555555556,37.0,7,-6.419970283456898e-12,1.0,0.7031385627491331,0.7110528542767292
51,91.66666666666667,45.0,1,0.2588190450912215,0.9659258262920959,0.703648052233264,0.7105486743273355
